zone_id,corridor,lat,lng,nearest_place,dist_m,second_nearest,zone_name,landmark,drains_into,distance_m,travel_minutes,confidence,alertable,inference_basis,source,needs_field_naming,notes
Z01,Drainage Channel,6.53941,3.37123,Somolu,855,Ilupeju,,,Z02,857,16,inferred,no,next zone south along corridor,osm_seed,,
Z02,Drainage Channel,6.53718,3.37865,Somolu,228,Bariga,,,Z03,943,17,inferred,no,next zone south along corridor,osm_seed,,
Z03,Drainage Channel,6.53119,3.38472,Somolu,1093,Bariga,,,Z04,956,17,inferred,no,next zone south along corridor,osm_seed,,
Z04,Drainage Channel,6.52283,3.38251,Somolu,1854,Bariga,,,Z05,905,16,inferred,no,next zone south along corridor,osm_seed,,
Z05,Drainage Channel,6.51494,3.38471,Bariga,2479,Somolu,,,Z06,880,16,inferred,no,next zone south along corridor,osm_seed,yes,
Z06,Drainage Channel,6.51045,3.39128,Bariga,2740,Somolu,,,Z07,732,13,inferred,no,next zone south along corridor,osm_seed,yes,
Z07,Drainage Channel,6.50499,3.39502,Bariga,3317,Somolu,,,Z08,436,8,inferred,no,next zone south along corridor,osm_seed,yes,
Z08,Drainage Channel,6.50105,3.39489,Bariga,3753,Somolu,,,,,,unknown,no,corridor terminus - junction not inferred,osm_seed,yes,
Z12,Ogudu Creek,6.58092,3.37222,Maryland,891,Oshosun,,,Z13,879,16,inferred,no,next zone south along corridor,osm_seed,,
Z13,Ogudu Creek,6.57552,3.37806,Maryland,933,Ogudu,,,Z09,888,16,inferred,no,next zone south along corridor,osm_seed,,
Z09,Ogudu Creek,6.5711,3.38476,Ogudu,770,Gbagada,,,Z14,6,5,inferred,no,next zone south along corridor,osm_seed,,
Z14,Ogudu Creek,6.5711,3.38471,Ogudu,774,Gbagada,,,Z10,858,16,inferred,no,next zone south along corridor,osm_seed,,
Z10,Ogudu Creek,6.56787,3.39176,Ogudu,800,Agboyi,,,Z11,884,16,inferred,no,next zone south along corridor,osm_seed,,
Z11,Ogudu Creek,6.56594,3.39952,Agboyi,1040,Ogudu,,,,,,unknown,no,corridor terminus - junction not inferred,osm_seed,,
Z15,Agboyi Creek,6.6225,3.40352,Agiliti,873,Owode Onirin,,,Z16,1103,20,inferred,no,next zone south along corridor,osm_seed,,
Z16,Agboyi Creek,6.61427,3.39788,Agiliti,344,Erukan,,,Z17,938,17,inferred,no,next zone south along corridor,osm_seed,,
Z17,Agboyi Creek,6.60717,3.40253,Erukan,816,Agiliti,,,Z18,1122,20,inferred,no,next zone south along corridor,osm_seed,,
Z18,Agboyi Creek,6.59728,3.4048,Erukan,1420,Orisigun,,,Z19,1103,20,inferred,no,next zone south along corridor,osm_seed,,
Z19,Agboyi Creek,6.58736,3.40585,Oruba,530,Agboyi,,,Z20,1069,19,inferred,no,next zone south along corridor,osm_seed,,
Z20,Agboyi Creek,6.57828,3.40917,Oruba,815,Agboyi,,,Z21,1153,21,inferred,no,next zone south along corridor,osm_seed,,
Z21,Agboyi Creek,6.56793,3.41044,Agboyi,1344,Oruba,,,,,,unknown,no,corridor terminus - junction not inferred,osm_seed,,
